Sample Rate = 140.98684210526315
time,type,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,QuatW,QuatX,QuatY,QuatZ,LiAccX,LiAccY,LiAccZ,GyroCal,AccelCal,MagCal
0:00:00.124040,t,473,474,346,92,295,253,370,494,9.73,-1.12,0.23,1.25,-0.50,0.13,0.45,0.49,0.56,0.56,0.06,-0.05,-0.06,0.00,1.00,3.00

0:00:00.127041,s,30,28,28,26,26,26,26,26,-1.14,-0.08,-9.73,0.13,-0.13,0.06,0.05,-0.46,0.02,0.02,0.04,-0.09,0.21,3.00,3.00,3.00

0:00:00.130041,t,472,474,346,92,296,253,371,494,9.73,-1.12,0.23,0.25,-0.31,0.37,0.45,0.49,0.56,0.56,0.05,-0.06,0.01,0.00,1.00,3.00

0:00:00.133042,s,30,28,28,27,26,26,26,26,-1.14,-0.08,-9.73,0.00,0.25,0.06,0.05,-0.46,0.02,0.02,0.10,0.11,0.18,3.00,3.00,3.00

0:00:00.136043,t,472,472,344,92,294,252,370,493,9.73,-1.12,0.23,-0.62,-0.25,0.25,0.45,0.49,0.56,0.56,0.07,-0.06,0.02,0.00,1.00,3.00

0:00:00.138043,s,30,29,28,26,26,26,26,26,-1.14,-0.08,-9.73,0.00,0.00,0.06,0.05,-0.46,0.02,0.02,0.01,-0.03,0.22,3.00,3.00,3.00

0:00:00.141044,t,473,475,345,92,296,253,370,493,9.73,-1.12,0.23,-0.37,-0.19,0.37,0.45,0.49,0.56,0.56,0.07,-0.03,-0.10,0.00,1.00,3.00

0:00:00.144044,s,30,28,28,26,26,25,26,26,-1.14,-0.08,-9.73,0.00,0.06,0.00,0.05,-0.46,0.02,0.02,0.03,0.01,0.24,3.00,3.00,3.00

0:00:00.146045,t,471,474,345,91,295,253,370,493,9.73,-1.12,0.23,-0.06,-0.19,0.25,0.45,0.49,0.56,0.56,0.04,-0.01,-0.07,0.00,1.00,3.00

0:00:00.149046,s,30,29,27,27,27,26,26,26,-1.14,-0.08,-9.73,0.00,0.06,0.00,0.05,-0.46,0.02,0.02,0.06,0.12,0.19,3.00,3.00,3.00

0:00:00.152046,t,471,474,345,91,295,253,371,489,9.73,-1.12,0.23,-0.06,-0.19,0.13,0.45,0.49,0.56,0.56,0.03,-0.01,-0.06,0.00,1.00,3.00

0:00:00.155047,s,30,29,28,27,27,26,26,26,-1.14,-0.08,-9.73,0.00,0.00,0.00,0.05,-0.46,0.02,0.02,0.03,-0.03,0.22,3.00,3.00,3.00

0:00:00.158055,t,464,473,351,92,299,260,378,482,9.73,-1.12,0.23,1.00,-0.44,0.19,0.45,0.49,0.56,0.56,0.07,-0.04,-0.09,0.00,1.00,3.00

0:00:00.160048,s,30,29,28,26,26,26,26,26,-1.14,-0.08,-9.73,0.13,0.00,0.00,0.05,-0.46,0.02,0.02,0.05,-0.04,0.22,3.00,3.00,3.00

0:00:00.163049,t,471,475,345,91,295,253,371,486,9.73,-1.12,0.23,0.37,-0.25,0.06,0.45,0.49,0.56,0.56,0.04,-0.06,-0.05,0.00,1.00,3.00

0:00:00.166049,s,30,28,27,27,26,26,26,26,-1.14,-0.08,-9.73,0.06,-0.06,0.06,0.05,-0.46,0.02,0.02,0.08,0.04,0.19,3.00,3.00,3.00

0:00:00.168050,t,470,475,345,91,295,253,371,485,9.73,-1.12,0.23,0.25,-0.50,-0.06,0.45,0.49,0.56,0.56,0.02,0.00,0.02,0.00,1.00,3.00

0:00:00.171050,s,30,28,28,26,26,26,25,26,-1.14,-0.08,-9.73,0.06,0.00,0.00,0.05,-0.46,0.02,0.02,0.02,-0.04,0.22,3.00,3.00,3.00

0:00:00.173051,t,470,474,344,91,294,252,370,484,9.73,-1.12,0.23,0.31,-0.56,0.00,0.45,0.49,0.56,0.56,0.06,-0.02,-0.05,0.00,1.00,3.00

0:00:00.176052,s,30,28,28,27,26,26,26,26,-1.14,-0.08,-9.73,0.19,-0.06,0.00,0.05,-0.46,0.02,0.02,0.00,-0.01,0.19,3.00,3.00,3.00

0:00:00.179052,t,471,476,345,90,295,253,370,483,9.73,-1.12,0.23,0.00,-0.06,0.00,0.45,0.49,0.56,0.56,0.06,-0.03,-0.05,0.00,1.00,3.00

0:00:00.181053,s,30,29,27,27,26,26,26,26,-1.14,-0.08,-9.73,0.00,0.00,0.00,0.05,-0.46,0.02,0.02,0.05,0.07,0.19,3.00,3.00,3.00

0:00:00.184053,t,469,474,344,91,295,253,370,483,9.73,-1.12,0.23,0.00,-0.19,0.00,0.45,0.49,0.56,0.56,0.07,-0.01,-0.04,0.00,1.00,3.00

